sample_id,category,t_start,t_end,t_delta,psnr,clip_similarity_target_image_edit_part,cell_path
00000001,annotation_images,0.4,0.1,0.0,23.75249671936035,13.32276439666748,/00000001/cells/t_start_0p4__t_end_0p1.jpg
00000001,annotation_images,0.4,0.2,0.0,22.571489334106445,14.187783241271973,/00000001/cells/t_start_0p4__t_end_0p2.jpg
00000001,annotation_images,0.4,0.3,0.0,21.201828002929688,14.172008514404297,/00000001/cells/t_start_0p4__t_end_0p3.jpg
00000001,annotation_images,0.4,0.4,0.0,19.71263313293457,12.35072135925293,/00000001/cells/t_start_0p4__t_end_0p4.jpg
00000001,annotation_images,0.4,0.5,0.0,17.620622634887695,13.479789733886719,/00000001/cells/t_start_0p4__t_end_0p5.jpg
00000001,annotation_images,0.4,0.6,0.0,15.910473823547363,19.52200698852539,/00000001/cells/t_start_0p4__t_end_0p6.jpg
00000001,annotation_images,0.4,0.7,0.0,13.429503440856934,22.917556762695312,/00000001/cells/t_start_0p4__t_end_0p7.jpg
00000001,annotation_images,0.4,0.8,0.0,12.16683292388916,21.115646362304688,/00000001/cells/t_start_0p4__t_end_0p8.jpg
00000001,annotation_images,0.4,0.9,0.0,11.603169441223145,20.77581024169922,/00000001/cells/t_start_0p4__t_end_0p9.jpg
00000001,annotation_images,0.4,1.0,0.0,9.805957794189453,17.022998809814453,/00000001/cells/t_start_0p4__t_end_1p0.jpg
00000001,annotation_images,0.5,0.0,0.0,21.80137825012207,11.27603530883789,/00000001/cells/t_start_0p5__t_end_0p0.jpg
00000001,annotation_images,0.5,0.1,0.0,22.140348434448242,15.337021827697754,/00000001/cells/t_start_0p5__t_end_0p1.jpg
00000001,annotation_images,0.5,0.2,0.0,21.442163467407227,21.332168579101562,/00000001/cells/t_start_0p5__t_end_0p2.jpg
00000001,annotation_images,0.5,0.3,0.0,20.094928741455078,18.56304168701172,/00000001/cells/t_start_0p5__t_end_0p3.jpg
00000001,annotation_images,0.5,0.4,0.0,18.730941772460938,15.293532371520996,/00000001/cells/t_start_0p5__t_end_0p4.jpg
00000001,annotation_images,0.5,0.5,0.0,17.172212600708008,16.09695816040039,/00000001/cells/t_start_0p5__t_end_0p5.jpg
00000001,annotation_images,0.5,0.6,0.0,15.653560638427734,23.711835861206055,/00000001/cells/t_start_0p5__t_end_0p6.jpg
00000001,annotation_images,0.5,0.7,0.0,13.59518051147461,18.814403533935547,/00000001/cells/t_start_0p5__t_end_0p7.jpg
00000001,annotation_images,0.5,0.8,0.0,12.284774780273438,14.462980270385742,/00000001/cells/t_start_0p5__t_end_0p8.jpg
00000001,annotation_images,0.5,0.9,0.0,11.607889175415039,18.186491012573242,/00000001/cells/t_start_0p5__t_end_0p9.jpg
00000001,annotation_images,0.5,1.0,0.0,9.773846626281738,17.486461639404297,/00000001/cells/t_start_0p5__t_end_1p0.jpg
