sample_id,t_delta,t_start,t_end,psnr,clip_similarity_target_image
4,0.15,0.6,0.6,17.065808613259616,25.95401382446289
4,0.15,0.6,0.7,17.065808613259616,25.95401382446289
4,0.15,0.6,0.8,17.065808613259616,25.95401382446289
4,0.15,0.6,0.9,17.065808613259616,25.95401382446289
4,0.15,0.6,1.0,17.065808613259616,25.95401382446289
4,0.15,0.7,0.0,21.34549830947199,25.817813873291016
4,0.15,0.7,0.1,21.828739366223434,24.50069999694824
4,0.15,0.7,0.2,21.29918962607635,23.92327880859375
4,0.15,0.7,0.3,20.04051110906696,24.480175018310547
4,0.15,0.7,0.4,18.804964108769745,25.809755325317383
4,0.15,0.7,0.5,17.085556817802455,26.014488220214844
4,0.15,0.7,0.6,15.911581528113071,27.55938148498535
4,0.15,0.7,0.7,15.305446529255851,31.07185935974121
4,0.15,0.7,0.8,15.305446529255851,31.07185935974121
4,0.15,0.7,0.9,15.305446529255851,31.07185935974121
4,0.15,0.7,1.0,15.305446529255851,31.07185935974121
4,0.15,0.8,0.0,18.30533217766976,25.609325408935547
4,0.15,0.8,0.1,18.653529789109527,26.38399314880371
4,0.15,0.8,0.2,18.39647351589045,31.35783767700196
4,0.15,0.8,0.3,17.663319325250054,31.884401321411133
4,0.15,0.8,0.4,16.600023584125022,32.66073989868164
4,0.15,0.8,0.5,15.829694815933976,30.12482452392578
4,0.15,0.8,0.6,15.150732980273338,28.99237823486328
4,0.15,0.8,0.7,14.727055108222004,28.550931930541992
4,0.15,0.8,0.8,13.885784628991347,32.812294006347656
4,0.15,0.8,0.9,13.885784628991347,32.812294006347656
4,0.15,0.8,1.0,13.885784628991347,32.812294006347656
4,0.15,0.9,0.0,15.689712834589075,26.84017944335937
4,0.15,0.9,0.1,15.959281849210116,29.883718490600582
4,0.15,0.9,0.2,15.863374161662794,33.58854675292969
4,0.15,0.9,0.3,15.525072423444897,31.29401206970215
4,0.15,0.9,0.4,14.98357519138057,32.10981369018555
4,0.15,0.9,0.5,14.475156249148116,32.31871795654297
4,0.15,0.9,0.6,13.907523220397293,31.4608097076416
4,0.15,0.9,0.7,13.416237306555717,32.62857818603516
4,0.15,0.9,0.8,13.120095327320223,33.94926071166992
4,0.15,0.9,0.9,13.049499038484358,33.60462951660156
4,0.15,0.9,1.0,13.049499038484358,33.60462951660156
4,0.15,1.0,0.0,15.235041624788527,26.97995376586914
4,0.15,1.0,0.1,15.525784086114864,32.03266906738281
4,0.15,1.0,0.2,15.570643779081998,33.09135437011719
4,0.15,1.0,0.3,15.56560767428988,32.16267776489258
4,0.15,1.0,0.4,15.194119102229674,31.09954071044922
4,0.15,1.0,0.5,14.691609710478687,31.3514347076416
4,0.15,1.0,0.6,14.323951945224271,31.82687759399414
4,0.15,1.0,0.7,13.99785193484949,32.16560363769531
4,0.15,1.0,0.8,13.792346534136954,32.576255798339844
4,0.15,1.0,0.9,12.97714293191329,33.042457580566406
4,0.15,1.0,1.0,12.643390904189523,34.33402633666992
5,0.15,0.0,0.0,33.542954712574364,19.663330078125
5,0.15,0.0,0.1,33.542954712574364,19.663330078125
5,0.15,0.0,0.2,33.542954712574364,19.663330078125
5,0.15,0.0,0.3,33.542954712574364,19.663330078125
5,0.15,0.0,0.4,33.542954712574364,19.663330078125
5,0.15,0.0,0.5,33.542954712574364,19.663330078125
5,0.15,0.0,0.6,33.542954712574364,19.663330078125
5,0.15,0.0,0.7,33.542954712574364,19.663330078125
5,0.15,0.0,0.8,33.542954712574364,19.663330078125
5,0.15,0.0,0.9,33.542954712574364,19.663330078125
5,0.15,0.0,1.0,33.542954712574364,19.663330078125
5,0.15,0.1,0.0,33.496754278505215,19.46450424194336
5,0.15,0.1,0.1,28.33573161840291,19.46893882751465
5,0.15,0.1,0.2,28.33573161840291,19.46893882751465
5,0.15,0.1,0.3,28.33573161840291,19.46893882751465
5,0.15,0.1,0.4,28.33573161840291,19.46893882751465
5,0.15,0.1,0.5,28.33573161840291,19.46893882751465
5,0.15,0.1,0.6,28.33573161840291,19.46893882751465
5,0.15,0.1,0.7,28.33573161840291,19.46893882751465
5,0.15,0.1,0.8,28.33573161840291,19.46893882751465
5,0.15,0.1,0.9,28.33573161840291,19.46893882751465
5,0.15,0.1,1.0,28.33573161840291,19.46893882751465
5,0.15,0.2,0.0,33.3641041601736,19.532690048217773
5,0.15,0.2,0.1,28.284741200199896,19.04042625427246
5,0.15,0.2,0.2,25.95325390038964,18.319753646850582
5,0.15,0.2,0.3,25.95325390038964,18.319753646850582
5,0.15,0.2,0.4,25.95325390038964,18.319753646850582
5,0.15,0.2,0.5,25.95325390038964,18.319753646850582
5,0.15,0.2,0.6,25.95325390038964,18.319753646850582
5,0.15,0.2,0.7,25.95325390038964,18.319753646850582
5,0.15,0.2,0.8,25.95325390038964,18.319753646850582
5,0.15,0.2,0.9,25.95325390038964,18.319753646850582
5,0.15,0.2,1.0,25.95325390038964,18.319753646850582
5,0.15,0.3,0.0,32.94259046124897,19.406478881835938
5,0.15,0.3,0.1,28.14637153196633,19.213499069213867
5,0.15,0.3,0.2,25.69885016343255,18.199604034423828
5,0.15,0.3,0.3,23.248707212420484,19.7036361694336
5,0.15,0.3,0.4,23.248707212420484,19.7036361694336
5,0.15,0.3,0.5,23.248707212420484,19.7036361694336
5,0.15,0.3,0.6,23.248707212420484,19.7036361694336
5,0.15,0.3,0.7,23.248707212420484,19.7036361694336
5,0.15,0.3,0.8,23.248707212420484,19.7036361694336
5,0.15,0.3,0.9,23.248707212420484,19.7036361694336
5,0.15,0.3,1.0,23.248707212420484,19.7036361694336
5,0.15,0.4,0.0,32.284299150130536,19.444536209106445
5,0.15,0.4,0.1,27.9115856140589,18.41841697692871
5,0.15,0.4,0.2,25.505045365474302,17.648988723754883
5,0.15,0.4,0.3,23.095795341878272,18.643295288085938
5,0.15,0.4,0.4,20.843353120511104,19.86466789245605
5,0.15,0.4,0.5,20.843353120511104,19.86466789245605
5,0.15,0.4,0.6,20.843353120511104,19.86466789245605
5,0.15,0.4,0.7,20.843353120511104,19.86466789245605
5,0.15,0.4,0.8,20.843353120511104,19.86466789245605
5,0.15,0.4,0.9,20.843353120511104,19.86466789245605
5,0.15,0.4,1.0,20.843353120511104,19.86466789245605
5,0.15,0.5,0.0,31.133915377245017,18.771095275878903
5,0.15,0.5,0.1,27.45255092010811,18.358213424682617
5,0.15,0.5,0.2,25.146136423013044,17.318605422973633
5,0.15,0.5,0.3,22.81560937814473,18.95604515075684
5,0.15,0.5,0.4,20.57305446664705,20.5005111694336
5,0.15,0.5,0.5,18.97000136128589,20.10336303710937
5,0.15,0.5,0.6,18.97000136128589,20.10336303710937
5,0.15,0.5,0.7,18.97000136128589,20.10336303710937
5,0.15,0.5,0.8,18.97000136128589,20.10336303710937
5,0.15,0.5,0.9,18.97000136128589,20.10336303710937
5,0.15,0.5,1.0,18.97000136128589,20.10336303710937
5,0.15,0.6,0.0,29.638920972169323,19.424257278442383
5,0.15,0.6,0.1,26.864182901040525,18.696033477783203
5,0.15,0.6,0.2,24.8479023618645,17.643409729003906
